iter	MultiClass
0	1.088451831
1	1.077218576
2	1.066926749
3	1.056161593
4	1.046516784
5	1.036754276
6	1.026326697
7	1.016757219
8	1.006903527
9	0.99652059
10	0.9870671841
11	0.9777812929
12	0.9679876168
13	0.9589187324
14	0.9496170362
15	0.9413095274
16	0.9320267553
17	0.9235467565
18	0.914874176
19	0.9062237427
20	0.8986435737
21	0.8907322239
22	0.8831221827
23	0.8759786049
24	0.8678528923
25	0.8601325104
26	0.8529597136
27	0.8463662347
28	0.839452779
29	0.8326148028
30	0.8255982651
31	0.818868521
32	0.8120520361
33	0.8060076114
34	0.7999347494
35	0.7939906233
36	0.7880384765
37	0.7821591794
38	0.77585678
39	0.7699989684
40	0.7641263059
41	0.7585069311
42	0.752867173
43	0.7473050246
44	0.7416028092
45	0.7360417056
46	0.7308386929
47	0.7261179307
48	0.7213042581
49	0.7159978555
50	0.7111742654
51	0.7067250431
52	0.7021023468
53	0.6974596403
54	0.6926256724
55	0.6879185633
56	0.6833382338
57	0.6785784564
58	0.6741242599
59	0.6694037579
60	0.6649200647
61	0.6603104179
62	0.6559149761
63	0.6518666875
64	0.6477116579
65	0.6434565639
66	0.6391771937
67	0.6355155994
68	0.6316622964
69	0.6278368594
70	0.6240078137
71	0.6200936747
72	0.6167509779
73	0.6130325625
74	0.6091603295
75	0.6055220898
76	0.6020395839
77	0.5984629266
78	0.5951237669
79	0.5917654022
80	0.5884979547
81	0.5851617719
82	0.5817306506
83	0.5785113544
84	0.5752313854
85	0.5721863769
86	0.5692202542
87	0.5662328662
88	0.5630353527
89	0.5599897359
90	0.5570434735
91	0.554250751
92	0.5514788581
93	0.5481679522
94	0.5454924701
95	0.5427123737
96	0.5399476599
97	0.5371695829
98	0.5343592649
99	0.5315164127
100	0.5289526705
101	0.5264718878
102	0.5241021243
103	0.5215322269
104	0.5188033532
105	0.5161016564
106	0.5136694165
107	0.5112329152
108	0.5088003151
109	0.5064374512
110	0.5039766448
111	0.5014167624
112	0.4991610423
113	0.4968525559
114	0.4946787475
115	0.4927483215
116	0.4905636155
117	0.4883306787
118	0.4861990649
119	0.4839549691
120	0.4815724887
121	0.4795613123
122	0.4775425245
123	0.4754465954
124	0.4729840046
125	0.4709067166
126	0.4689218357
127	0.466731696
128	0.4649356169
129	0.4630997029
130	0.4610844419
131	0.4590608261
132	0.4570172427
133	0.4551894609
134	0.4532159484
135	0.4511850222
136	0.4493191364
137	0.4474535415
138	0.4457574803
139	0.4437911039
140	0.4421509662
141	0.440201464
142	0.4385306067
143	0.4365623226
144	0.4349366553
145	0.43316145
146	0.4314872774
147	0.4296093234
148	0.4279187922
149	0.4264083537
150	0.424753654
151	0.4229572468
152	0.4212967704
153	0.4195561664
154	0.4180622286
155	0.4163328438
156	0.4149047632
157	0.4134017667
158	0.4119099679
159	0.4104734629
160	0.4088998657
161	0.4073953194
162	0.4061393209
163	0.4045055454
164	0.4029613581
165	0.4016109924
166	0.400222595
167	0.3988872307
168	0.3974586279
169	0.3961459547
170	0.3946811171
171	0.3933439375
172	0.3918324609
173	0.3906203788
174	0.3892552886
175	0.3878606974
176	0.3867898697
177	0.3856711204
178	0.3844236184
179	0.3833268618
180	0.3820580339
181	0.3807336592
182	0.3796678289
183	0.3783813248
184	0.3770457435
185	0.3756041916
186	0.3743927338
187	0.3733069182
188	0.3719800862
189	0.3706514151
190	0.3695036119
