iter	Passed	Remaining
0	3	740
1	7	663
2	9	621
3	12	586
4	15	570
5	18	567
6	21	561
7	24	553
8	27	555
9	30	547
10	33	549
11	36	551
12	39	546
13	43	545
14	46	542
15	49	544
16	52	539
17	55	534
18	58	527
19	61	522
20	64	522
21	67	519
22	71	519
23	74	515
24	77	512
25	80	508
26	83	506
27	86	504
28	89	501
29	92	499
30	95	494
31	98	488
32	101	484
33	104	482
34	107	478
35	110	474
36	113	472
37	117	471
38	119	467
39	122	462
40	125	458
41	128	455
42	131	453
43	134	450
44	137	447
45	140	443
46	143	440
47	147	438
48	150	434
49	152	431
50	155	427
51	158	424
52	161	421
53	165	419
54	168	417
55	172	414
56	175	413
57	179	410
58	182	407
59	185	404
60	188	401
61	191	398
62	194	394
63	197	390
64	200	388
65	203	386
66	206	381
67	209	378
68	212	375
69	215	372
70	218	369
71	221	366
72	224	362
73	227	359
74	231	357
75	234	354
76	237	351
77	240	348
78	244	346
79	247	343
80	250	340
81	253	336
82	256	333
83	258	329
84	261	326
85	264	323
86	268	320
87	271	317
88	274	314
89	276	310
90	280	308
91	283	305
92	287	302
93	290	299
94	293	296
95	296	293
96	299	290
97	302	287
98	305	284
99	308	280
100	311	277
101	314	274
102	318	271
103	321	268
104	324	265
105	327	262
106	330	259
107	333	256
108	336	253
109	339	250
110	342	246
111	345	243
112	348	240
113	351	237
114	354	234
115	357	231
116	360	227
117	363	224
118	366	221
119	369	218
120	372	215
121	375	212
122	378	209
123	382	206
124	384	203
125	388	200
126	391	197
127	394	194
128	398	191
129	401	188
130	404	185
131	408	182
132	411	179
133	414	176
134	417	173
135	420	169
136	423	166
137	425	163
138	429	160
139	432	157
140	434	154
141	438	151
142	440	147
143	443	144
144	446	141
145	449	138
146	452	135
147	455	132
148	458	129
149	462	126
150	465	123
151	467	120
152	470	116
153	473	113
154	476	110
155	479	107
156	482	104
157	485	101
158	488	98
159	491	95
160	494	92
161	497	89
162	500	85
163	503	82
164	506	79
165	509	76
166	512	73
167	515	70
168	517	67
169	521	64
170	524	61
171	527	58
172	530	55
173	533	52
174	536	49
175	539	46
176	543	42
177	546	39
178	549	36
179	552	33
180	556	30
181	558	27
182	561	24
183	565	21
184	568	18
185	571	15
186	574	12
187	577	9
188	580	6
189	583	3
190	586	0
