#{"t_start": 1768400364.4744728, "env_id": "LunarLander-v3"}
r,l,t
-98.20662,109,0.123651
-155.179079,87,0.166631
-159.992819,89,0.215662
-294.496217,106,0.259729
-132.384058,103,0.299646
-316.650948,116,0.341714
-154.108043,60,0.362724
-120.128434,109,0.403712
-296.191126,96,0.438722
-17.295147,62,0.461738
-143.980029,86,0.497411
-174.991782,137,0.549103
-246.219557,72,0.576016
-127.744884,108,0.61805
-187.401693,93,0.652118
-67.906641,85,0.683053
-66.062403,57,0.711073
-168.50775,96,0.74711
-396.445803,78,0.776103
-366.044872,99,0.814017
-295.548801,142,0.868055
-241.943705,117,2.533859
-84.89234,65,2.580401
-334.164946,73,2.611418
40.529435,138,2.67747
-121.11349,99,2.724492
-153.041243,73,2.753515
-172.76135,118,2.797497
-42.356732,134,2.849428
-86.912602,65,2.877497
-99.264337,94,2.913402
-352.168333,132,2.975419
-203.3259,88,3.011132
-279.51685,118,3.059926
-27.035616,97,3.100926
-70.031728,67,3.128962
-101.786183,76,3.160996
-87.686223,74,3.188956
-125.725786,69,3.216029
-160.786671,106,3.25702
-94.522123,83,3.291023
-131.108214,114,3.336954
-296.773733,93,3.381019
-139.667887,88,5.135818
-339.749242,108,5.191836
-261.183515,154,5.255837
-201.262851,109,5.295836
-53.556574,67,5.32082
-49.607373,111,5.361836
-172.143078,76,5.38982
-305.930056,75,5.417819
-75.890355,92,5.451835
-212.684941,72,5.48082
-96.582125,114,5.52352
-111.546489,83,5.553272
-176.579365,138,5.604767
-73.38781,116,5.647696
-137.996683,86,5.680766
-131.111089,111,5.722731
-118.777791,80,5.751721
-128.710582,70,5.777745
-96.312429,94,5.812749
-262.841831,104,5.857762
-13.985375,106,5.897762
-304.434591,126,7.730687
-151.039425,72,7.771688
-91.348313,101,7.814685
-135.292961,85,7.848786
-103.958124,132,7.901794
-16.167346,133,7.954775
-90.126465,66,7.979785
-169.914749,74,8.007731
-206.944317,129,8.063426
-73.427174,69,8.090371
-50.433778,82,8.120362
-165.854,100,8.15839
-262.388172,107,8.199393
-110.118,84,8.230431
-91.748035,73,8.257425
-100.250046,93,8.292467
-101.482668,117,8.336434
-184.518217,106,8.376439
-175.121528,105,8.415344
-77.656528,61,8.444429
-134.85198,77,8.472434
-219.607826,141,10.025387
-133.812389,134,10.098882
-110.005555,78,10.130794
-93.764459,102,10.169821
-55.87493,69,10.201872
-73.918908,78,10.23291
-254.320868,112,10.279862
-71.340165,113,10.327877
-88.649466,103,10.38678
-268.875736,135,10.460851
-179.922641,119,10.524174
-111.96717,122,10.586932
-93.850459,103,10.63703
-76.032349,73,10.670934
-91.191398,141,10.740024
-103.620169,72,10.777929
-29.013477,98,10.840025
-212.945637,122,10.919966
-170.625821,100,10.974929
-105.442895,79,11.015019
-116.57741,87,12.875896
-95.049902,92,12.94291
-112.180324,80,12.980945
-48.164217,120,13.037928
-72.166294,62,13.063022
-200.816054,104,13.103784
-85.89761,101,13.141787
-114.238488,104,13.181792
-48.144714,92,13.221783
-123.569943,103,13.260729
-113.29789,92,13.299789
26.015636,107,13.347824
21.390074,115,13.392791
-13.99066,121,13.439724
-243.71295,118,13.483726
-160.58661,86,13.514585
-54.27768,95,13.550537
-78.922284,73,13.576483
-105.674961,76,13.609468
38.114508,85,13.641529
-100.603146,63,13.664523
-43.308344,114,15.223547
-139.229607,100,15.307565
-266.631071,162,15.375643
-31.671888,83,15.407588
-255.198931,146,15.463635
-68.15584,122,15.509401
-52.099278,124,15.562743
-88.560314,73,15.59181
-52.472342,109,15.632805
-105.024622,99,15.669799
-96.921797,119,15.713807
-339.461738,149,15.772806
-246.514149,125,15.819801
-79.814996,76,15.847835
-204.74764,132,15.897797
-289.983698,113,15.941708
-264.309881,125,15.990744
-69.098435,75,16.018808
-75.892674,162,17.586993
-83.800982,80,17.633088
-170.09335,138,17.696996
-213.745196,87,17.731997
-14.128649,93,17.76809
-219.349416,119,17.813089
-64.157974,136,17.871143
-75.548272,141,17.925078
-21.691337,80,17.955023
-45.354027,124,18.003105
-218.390746,127,18.053086
-46.146624,131,18.104081
-239.940077,120,18.15009
-140.999532,118,18.194083
-60.648631,124,18.245049
-56.985126,83,18.278082
-144.143199,106,18.319128
-83.263315,139,18.37308
-29.56642,116,19.965023
-48.745474,159,20.061156
-86.151401,120,20.108121
-93.131996,90,20.140056
-72.076766,117,20.185117
-137.647143,160,20.254112
-268.826508,116,20.299156
-150.218621,95,20.335109
-40.076602,92,20.369107
-151.716931,151,20.429054
-64.477031,174,20.497117
-28.107928,99,20.534865
-92.513753,125,20.584486
-22.091168,100,20.625452
-28.609366,74,20.652399
-102.95892,104,20.690457
-75.632965,76,20.718458
-72.35748,168,22.30647
-164.462528,99,22.368567
-58.821208,104,22.411597
-1.522068,156,22.472561
-67.034082,107,22.514249
-210.843686,176,22.594768
-284.339741,162,22.657847
-228.167571,117,22.707838
-62.729435,106,22.747782
13.293884,141,22.804839
-60.667672,90,22.838846
-114.127343,153,22.898831
-73.697879,81,22.928851
-39.906111,143,22.9898
-26.947523,92,23.023841
-88.901447,143,23.078748
-73.021536,69,23.103834
-6.071581,142,24.625993
-205.577197,224,24.751086
-220.395088,113,24.793078
-81.932978,166,24.864027
-83.407966,147,24.92308
-31.985362,104,24.962994
-25.944784,122,25.011026
-66.828173,155,25.074091
-65.064168,128,25.12308
-132.724557,105,25.163088
-8.44415,124,25.209091
-72.166637,142,25.27109
-306.192025,142,25.323998
-100.202579,87,25.357013
-269.934702,121,25.403118
-281.582664,132,26.895293
22.426441,139,26.974391
-195.089678,159,27.039312
-205.367837,145,27.098337
-81.377882,107,27.140391
-189.544681,180,27.212389
-238.682879,190,27.291334
40.698067,119,27.339355
-112.689077,144,27.396311
-251.453986,106,27.436411
-99.349091,114,27.480386
-130.925148,147,27.539752
-48.269072,176,27.609667
-164.924643,121,27.658754
-71.264356,138,27.713767
-45.581283,103,29.245803
-163.765817,89,29.310816
-19.399566,124,29.363888
-93.61178,152,29.428838
-60.862042,116,29.473887
-235.375947,133,29.52568
-28.385897,132,29.577455
-42.278773,103,29.618464
-43.203821,165,29.688448
-11.731553,148,29.748468
-134.895135,180,29.822744
-125.733885,177,29.894718
-129.621054,123,29.944718
-8.188126,148,30.010718
-36.327115,118,30.06772
-126.826525,204,31.610924
-20.838436,123,31.661911
-26.853104,133,31.720911
7.734557,163,31.784923
-28.559087,214,31.877911
-15.799695,135,31.931506
-115.568603,183,32.006592
-19.851156,139,32.060595
-68.466268,184,32.143592
-204.244868,229,32.241596
14.692671,201,32.3316
35.903061,136,32.400593
-76.927069,213,33.926899
-230.19024,189,34.015892
-51.991445,94,34.052896
-9.998677,217,34.14891
-23.227396,133,34.200848
1.239521,222,34.307906
-59.104225,225,34.403893
-28.440795,148,34.468897
-135.850093,361,34.668348
-119.991841,216,34.755373
-231.169331,247,36.268549
-85.226284,141,36.330442
-56.800885,251,36.444566
-10.666311,256,36.569191
-30.872629,199,36.651178
-129.190844,321,36.812192
-29.261403,189,36.895216
5.978616,147,36.954194
-95.076311,209,37.049179
-20.58636,162,37.117181
-87.833945,298,38.707483
-92.724662,216,38.800447
-257.15754,220,38.899374
-41.588039,170,38.96946
-285.14092,194,39.051453
-233.115364,178,39.127476
-112.212425,294,39.264445
-236.961451,416,39.517187
-254.030187,362,41.129632
66.865827,1000,42.080997
-68.0919,177,42.15803
-152.185323,315,42.312028
-12.753994,302,43.920171
-42.388123,1000,44.807676
-41.415115,144,44.869658
-209.868445,581,45.299727
51.008871,1000,47.901082
14.621867,154,47.963078
-39.676025,344,48.145351
12.879414,1000,50.494832
-27.466594,257,50.620422
-34.927567,213,50.720423
29.631614,200,50.815325
-13.238293,252,50.94335
-103.915032,382,51.164344
-65.074533,346,51.362126
-67.070725,1000,53.970746
8.896924,339,54.143674
-15.025286,1000,56.57201
52.881184,1000,57.551892
-23.295561,271,57.684892
-8.313965,221,57.788892
-15.340204,137,57.845905
67.777329,1000,60.250774
92.434023,1000,61.367619
-113.706311,527,63.196542
6.749182,287,63.342873
-153.223705,471,63.607297
-53.716572,241,63.723309
-121.399275,347,63.920297
