#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-101.10662,109,0.125701
-157.279079,87,0.160702
-162.092819,89,0.193714
-296.596217,106,0.235426
-135.684058,103,0.275439
-319.750948,116,0.31744
-154.908043,60,0.33844
-122.728434,109,0.379533
-298.791126,96,0.41444
-18.295147,62,0.437426
-145.980029,86,0.470426
-178.791782,137,0.524426
-248.019557,72,0.552427
-130.544884,108,0.593427
-189.101693,93,0.628438
-70.406641,85,0.662429
-67.262403,57,0.685427
-170.90775,96,0.726444
-399.145803,78,0.758164
-368.344872,99,0.800163
-299.648801,142,0.861164
-245.143705,117,2.424609
-86.19234,65,2.474614
-336.564946,73,2.504614
-6.358716,115,2.551612
-113.031891,85,2.583612
-136.419361,85,2.616612
-225.071168,85,2.647612
-89.423649,62,2.670611
-62.847944,81,2.699612
-233.049277,117,2.744624
-125.867267,71,2.769624
-122.562384,67,2.794612
-92.478615,94,2.829612
-522.001471,112,2.873625
-472.409166,86,2.904625
-224.846054,108,2.952248
-107.791623,97,2.990848
-344.600604,94,3.030846
-111.090603,74,3.060847
-177.342566,93,3.098498
-186.941836,121,3.145499
-127.147279,83,3.178521
-64.441161,110,3.221499
-262.050052,116,4.832266
-171.287609,99,4.87827
-96.601969,68,4.905267
-335.148991,105,4.947941
-119.52137,75,4.975661
-206.060704,115,5.019661
-54.593799,66,5.045661
-205.276234,104,5.08545
-310.356131,120,5.131442
-169.185559,79,5.160428
-97.321262,108,5.200428
-126.719449,105,5.239428
-145.585594,118,5.283444
-84.721934,97,5.322429
-285.527559,153,5.38143
-99.313833,110,5.42343
-89.737562,64,5.44943
-115.34515,132,5.50243
-120.817537,69,5.52843
-153.84146,89,5.562433
-130.267207,107,7.184545
-96.501925,109,7.264548
-89.662205,75,7.298543
-180.432512,100,7.341545
-317.890553,84,7.377544
-105.00083,81,7.410543
-115.337137,100,7.453242
-57.033315,77,7.487338
-92.058311,76,7.51745
-103.279151,91,7.558371
-178.433888,124,7.611893
-99.020005,63,7.636892
-68.185266,82,7.671892
-208.05573,143,7.736892
-43.500566,75,7.766814
-131.922922,105,7.811438
-104.668835,77,7.842435
-201.449425,94,7.881435
-126.322527,105,7.925088
-140.026584,66,7.951091
-79.22624,71,7.979708
-142.104605,91,8.017707
-626.097162,100,8.058886
-90.179691,91,9.856757
-110.670742,120,9.923383
-192.415243,95,9.96138
-151.208492,131,10.012256
-37.487586,66,10.037257
-129.532587,84,10.070256
-103.487871,79,10.101256
-106.896862,83,10.131886
-92.997671,137,10.185886
-160.14744,86,10.217886
-72.412257,66,10.241886
-102.687749,82,10.272886
-262.834695,132,10.325886
-292.364813,105,10.367885
-107.073242,85,10.399886
-406.247811,111,10.448886
-87.557861,101,10.490885
-58.342824,77,10.521887
-273.881149,87,10.557887
-216.317467,101,10.599885
-76.913162,62,10.623887
-59.831773,134,12.110183
-137.764646,99,12.18576
-295.895115,75,12.218758
-133.633432,78,12.250758
-132.96621,81,12.281758
4.100063,130,12.336757
-243.66989,135,12.389757
-84.798365,115,12.434757
-149.256252,108,12.477758
-88.859314,91,12.514756
-89.953791,65,12.53977
-282.286292,156,12.600772
-115.091263,80,12.630772
-253.590507,124,12.676772
-119.869701,64,12.699771
-85.484834,69,12.724772
-98.085135,82,12.755758
-122.559267,137,12.808491
-191.482063,99,12.847491
-122.30245,93,12.883491
-107.337385,88,12.9162
-94.822615,72,14.400584
-232.999611,106,14.470581
-83.669571,124,14.529598
-102.077056,86,14.565582
-463.210205,122,14.613582
-219.842146,144,14.670582
-173.47957,98,14.707582
-364.374618,158,14.769582
-82.341157,72,14.797582
